"id","nom","nom_normalise","producteur_id","ingredients","ingredients_courts","description","description_courte","categorie_id","sous_categorie_id","conservation","date_creation","biologique","arachides","oeufs","gluten","lactose","photo_id","actif","is_noel","is_cru","is_naturel","is_source_de_confiance_vd","is_vegan","is_format_familial","jour_limite","heure_limite","is_commande_speciale","default_unite_mesure_entree_rapide","default_prix_par_unite_mesure_entree_rapide","code_pour_sku","prochain_code_format_pour_sku","date_desactivation","is_balade_gourmande"
216056,Pain baguette biologique (en sac papier),Pain_baguette_biologique_en_sac_papier,169011,"farine blanche non blanchie bio, eau, levain de blé bio, sel de mer",farine blanche non blanchie  [...],"Pain au levain cuit sur feu de bois.
Certifié biologique par Québec Vrai.","Pain au levain cuit sur feu de bois.
Certifié biologique par Québec Vrai [...]",101147,101142,tablette,"2015-01-02 23:22:57",1,0,0,0,1,187014,0,0,0,0,0,0,0,2,23,0,,,4,2,,0
216058,Pain belge blanc biologique (tranché en sac plastique),Pain_belge_blanc_biologique_tranche_en_sac_plastique,169011,"farine blanche non blanchie biologique, levain biologique, sel de mer.",farine blanche non blanchie  [...],Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:22:59",1,0,0,0,1,184015,0,0,0,0,0,0,0,2,23,0,,,5,2,,0
216059,Pain carré blanc (tranché en sac plastique),Pain_carre_blanc_tranche_en_sac_plastique,169011,"farine blanche non blanchie, levain, sel de mer.","farine blanche non blanchie, [...]",Pain au levain cuit sur feu de bois. ,,101147,101142,tablette,"2015-01-02 23:23:01",1,0,0,0,1,181011,0,0,0,0,0,0,0,2,23,0,,,6,2,,0
216064,Paninis biologiques (paquet de 4 en sac plastique),Paninis_biologiques_paquet_de_4_en_sac_plastique,169011,"farine blanche non blanchie biologique, levain biologique (eau, farine intégrale), farine tamisée biologique, huile de tournesol biologique, sel de mer.",farine blanche non blanchie  [...],Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:30",1,0,0,0,1,183019,0,0,0,0,0,0,0,2,23,0,,,7,2,,0
217028,Bifteak d'autruche,Bifteak_dautruche,167004,autruche,,"La viande d’autruche est une viande rouge à saveur douce. De plus, elle est extrêmement maigre, ne contenant que 2 à 3% de gras. Elle contient beaucoup de protéines, de fer, de phosphore, etc. et très peu de cholestérol. Pour obtenir le maximum de tendreté et avoir un goût à sa pleine mesure, elle ne doit pas être trop cuite.","La viande d’autruche est une viande rouge à saveur douce. De plus, elle  [...]",101153,219025,congelo,"2012-03-03 19:35:39",0,1,1,1,1,183016,0,0,0,0,0,0,0,3,7,0,,,8,3,,0
217030,Foie d'autruche,Foie_dautruche,167004,foie d'autruche,,"",,101153,219025,congelo,"2012-03-03 19:40:03",0,1,1,1,1,185010,0,0,0,0,0,0,0,3,7,0,,,9,2,,0
217033,Rôti Sot-l'y-laisse ,Roti_Sot_ly_laisse,167004,autruche,,"PS: celui-ci est considéré comme un rostbeef, mais il contient un filament de gras qui passe au milieu. C'est un rôti très tendre. La viande d'autruche est une viande rouge à saveur douce. De plus, elle est extrêmement maigre, ne contenant que 2 à 3% de gras. Elle contient beaucoup de protéines, de fer, de phosphore, etc. et très peu de cholestérol. Pour obtenir le maximum de tendreté et avoir un goût à sa pleine mesure, elle ne doit pas être trop cuite. ","PS: celui-ci est considéré comme un rostbeef, mais il contient un filament  [...]",101153,219025,congelo,"2014-03-28 14:32:49",0,1,1,1,1,187021,0,0,0,0,0,0,0,3,7,0,,,10,2,,0
217035,Savon liquide pour mains et corps.,Savon_liquide_pour_mains_et_corps,167004,"aqua,ostrich oil, cocos nucifera (coconut) oil, potassium hydroxyde, brassica napus (canola) oil, sodium hydroxyde, fragrance.","aqua,ostrich oil, cocos nucifera  [...]","Garde les mains douces et peut être aussi utilisé pour le corps. Étant donné que le savon liquide est fait en majorité d'huile d'autruche, il doit être gardé à la chaleur (température de la pièce, environ 18 degré celcius) sinon il va figer et changer de couleur. Si tel est le cas, remettez-le à chaleur, agiter et il va redevenir normal.(Pompe incluse sur la bouteille)",Garde les mains douces et peut être aussi utilisé pour le corps. Étant  [...],101152,101149,tablette,"2012-03-03 21:06:11",0,1,1,0,0,315024,0,0,0,0,0,0,0,3,7,0,,,11,3,,0
217039,Miel de fleurs de Trèfles,Miel_de_fleurs_de_Trefles,186013,miel,,"Miel naturel, non pasteurisé.

Miel onctueux, couleur claire, saveur et 
parfum très agréables.
Il est doté d'une saveur tout en finesse et en douceur. 



","Miel naturel, non pasteurisé.

Miel onctueux, couleur claire, saveur  [...]",667014,1085199427,tablette,"2012-10-01 08:50:57",0,1,1,0,0,2120354145,1,0,0,0,0,0,0,2,12,0,,,1,7,,0
217054,Pain belge blanc biologique (sac papier),Pain_belge_blanc_biologique_sac_papier,169011,"farine blanche non blanchie biologique, levain biologique, sel de mer. ",farine blanche non blanchie  [...],Pain au levain cuit sur feu de bois.Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois.Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:22:58",1,0,0,0,1,184015,0,0,0,0,0,0,0,2,23,0,,,8,2,,0
