"id","format_obj_id","article_id","commande_id","producteur_id","nom_producteur","acheteur_id","conservation","quantite","nom","prix","format","unite_mesure","marge","tps","tvq","prix_total","ordre","quantite_facturee","tps_producteur_par_unite","tvq_producteur_par_unite","montant_consigne"
42,325052,326049,360084,155010,Poulet Fermier Jym,362102,congelo,2,Escalope de poulet,6.00,"190-210",g,0.90,0.00,0.00,6.90,4,0,,,
43,195012,191011,365098,166015,Chèvrerie Mathurin,346009,frigo,2,Lait 1 litre (contenant verre),4.49,"1",L,0.67,0.00,0.00,5.16,34,0,,,
44,,,366090,327129,Ferme Tourmaline,358091,frigo,1,Verdures printanières,3.75,"250",g,0.56,0.00,0.00,4.31,164,0,,,
45,,246116,366090,161027,Ferme Avibross,358091,congelo,1,FONDUE CHINOISE ,10.00,Env. 450,g,1.50,0.00,0.00,11.50,11,0,,,
46,,,365109,187004,La Montagne bleue,341018,frigo,1,CHOUCROUTE,5.00,"500",ml,0.75,0.00,0.00,5.75,31,0,,,
47,295003,293007,364109,183010,Les petites pousses vert tendre,364002,frigo,1,Pousses de brocoli écolo,3.10,"100",g,0.46,0.00,0.00,3.56,44,0,,,
48,276023,278015,364109,183010,Les petites pousses vert tendre,364002,frigo,1,Pousses de tournesol écolo,3.10,"100",g,0.46,0.00,0.00,3.56,44,0,,,
49,,,364109,327129,Ferme Tourmaline,364002,frigo,1,Épinards,3.75,"200",g,0.56,0.00,0.00,4.31,30,0,,,
50,219035,221029,358103,167004,Les Viandes Lystania,360102,tablette,1,Huile d'autruche naturelle,7.25,"15",ml,1.09,0.42,0.83,9.59,50,0,,,
51,287011,285011,367118,183002,L'Olivier Del Mondo,367115,frigo,1,Olives vertes aux amandes rôties sans-sel,5.22,"8",once(s),0.78,0.00,0.00,6.00,41,0,,,
52,320064,325075,367118,181002,Fromagerie P'tit Plaisir,367115,frigo,1,Fromage en bloc,3.50,"340",g,0.52,0.00,0.00,4.02,31,0,,,
53,366048,364056,367118,192002,Verger des Horizons,367115,frigo,1,Pomme - Empire,12.50,"1/2",minot,1.88,0.00,0.00,14.38,29,0,,,
54,355045,364056,358059,192002,Verger des Horizons,141008,frigo,1,Pomme - Empire,6.75,"1/4",minot,1.01,0.00,0.00,7.76,29,0,,,
55,214030,218049,362119,167004,Les Viandes Lystania,158005,tablette,1,Crème hydratante pour mains et corps,8.75,"125",ml,1.31,0.50,1.00,11.56,50,0,,,
56,244066,246070,360123,151001,Canard Goûteux,360008,congelo,1,Saucisse de canard,9.25,± 450 ,g,1.39,0.00,0.00,10.64,13,0,,,
57,296008,287004,366117,183010,Les petites pousses vert tendre,346008,frigo,1,Pousses de radis écolo,2.10,"100 ",g,0.32,0.00,0.00,2.42,44,0,,,
58,,,366117,143001,Ferme des Trois-Vallons,346008,congelo,2,Smoked meat de boeuf ,3.95,"212",g,0.59,0.00,0.00,4.54,2,0,,,
59,320036,326045,365064,155010,Poulet Fermier Jym,162020,congelo,1,Bouillon,3.50,"1",L,0.52,0.00,0.00,4.02,4,0,,,
60,320064,325075,355142,181002,Fromagerie P'tit Plaisir,348003,frigo,1,Fromage en bloc,3.50,"340",g,0.52,0.00,0.00,4.02,31,0,,,
61,321069,320047,367025,168025,Brûlerie des Cantons,141002,tablette,1,Equitable  mélange Rythme du monde Mouture filtre,1.74,"50",g,0.26,0.00,0.00,2.00,62,0,,,
62,,305014,367145,187032,Moulin La Pierre,364147,congelo,1,Gaufres Liégeoises( Belges),5.48,"460",g,0.82,0.00,0.00,6.30,25,0,,,
63,243058,248052,367145,151001,Canard Goûteux,364147,frigo,1,Gésiers confits ,6.00,"220",ml,0.90,0.00,0.00,6.90,27,0,,,
64,229002,227002,365150,151001,Canard Goûteux,364156,congelo,2,Cuisse de canard,10.00,"2 par",sac(s),1.50,0.00,0.00,11.50,13,0,,,
65,300003,305001,366132,187032,Moulin La Pierre,364158,tablette,1,Farine de blé intégral à pain,4.00,"2",kg,0.60,0.00,0.00,4.60,57,0,,,
66,,246139,355049,164024,Faisanderie St-Albert,362001,congelo,1,Caille jumbo,6.75,"2x200",g,1.01,0.00,0.00,7.76,20,0,,,
67,255023,247100,364159,182006,Les Jardins de Mona,,congelo,1,Bleuets congelés,5.50,"1",kg,0.82,0.00,0.00,6.32,9,0,,,
68,,249134,364159,161028,Ferme des Hautes Terres,,congelo,1,Cubes de veau à brochette,7.23,"332",g,1.08,0.00,0.00,8.31,21,0,,,
69,308036,311020,360145,164024,Faisanderie St-Albert,366079,congelo,1,Cuisses de pintade,6.50,+/- 450,g,0.98,0.00,0.00,7.48,20,0,,,
70,214044,215061,360145,169011,Boulangerie Le Temps de Vivre,366079,tablette,1,Fougasse aux olives noires et fines herbes (sac papier),3.22,"400",g,0.48,0.00,0.00,3.70,64,0,,,
71,,,358114,327129,Ferme Tourmaline,156011,frigo,1,Verdures printanières,3.75,"250",g,0.56,0.00,0.00,4.31,30,0,,,
72,338001,330004,367158,183001,Fromagerie du Presbytère,212002,frigo,1,"La Religieuse, paquet sous-vide",8.00,"250",g,1.20,0.00,0.00,9.20,38,0,,,
73,367055,245037,367158,196002,Ferme Bio-Maraîchère,212002,frigo,2,ÉPINARDs ,3.00,"150",g,0.45,0.00,0.00,3.45,28,0,,,
74,360001,359001,367158,322121,Fromagerie Nouvelle France,212002,frigo,1,Zacharie Cloutier- Caseus d'Or 2011,9.00,"200",g,1.35,0.00,0.00,10.35,37,0,,,
75,365042,362052,366146,192002,Verger des Horizons,352022,frigo,1,Jus de pommes   ,3.25,"2",L,0.49,0.00,0.00,3.74,29,0,,,
76,367055,245037,366146,196002,Ferme Bio-Maraîchère,352022,frigo,1,ÉPINARDs ,3.00,"150",g,0.45,0.00,0.00,3.45,28,0,,,
77,296005,286005,366144,183010,Les petites pousses vert tendre,351008,frigo,1,Pousses de sarrasin écolo,3.10,"100",g,0.46,0.00,0.00,3.56,44,0,,,
78,,,355171,151001,Canard Goûteux,350007,frigo,2,Quiche au foie gras et rillette de canard,16.00,"1",unité(s),2.40,0.00,0.00,18.40,27,0,,,
79,,,362172,161027,Ferme Avibross,348009,congelo,1,DINDE HACHÉE,6.50,Env. 450,g,0.98,0.00,0.00,7.48,11,0,,,
80,295003,293007,362172,183010,Les petites pousses vert tendre,348009,frigo,1,Pousses de brocoli écolo,3.10,"100",g,0.46,0.00,0.00,3.56,44,0,,,
81,367048,364056,362172,192002,Verger des Horizons,348009,frigo,1,Pomme - Empire,2.75,"3",lbs,0.41,0.00,0.00,3.16,29,0,,,
82,324107,322117,358145,184008,La P'tite Virée,366133,congelo,1,Cornets Tire d'érable,5.25,"6",unité(s),0.79,0.30,0.60,6.94,17,0,,,
83,,,365176,143001,Ferme des Trois-Vallons,364179,congelo,1,Steak de surlonge,5.18,"275-299",g,0.78,0.00,0.00,5.96,2,0,,,
84,303021,298023,366163,180003,La Jambonnière,365174,frigo,1,Filet de porc,6.25,"400",g,0.94,0.00,0.00,7.19,40,0,,,
85,321127,322148,365180,183001,Fromagerie du Presbytère,355112,frigo,2,Brie Paysan,4.00,"140",g,0.60,0.00,0.00,4.60,38,0,,,
86,320028,327031,366162,155010,Poulet Fermier Jym,358005,congelo,1,Demi poulet,10.00,"1.00-1.50",kg,1.50,0.00,0.00,11.50,4,0,,,
87,214043,214041,365180,169011,Boulangerie Le Temps de Vivre,355112,tablette,1,Pain aux raisins (tranché en sac plastique),3.83,"575",g,0.57,0.00,0.00,4.40,64,0,,,
88,358039,364061,365180,192002,Verger des Horizons,355112,frigo,1,Jus de pommes  Antan,3.25,"2",L,0.49,0.00,0.00,3.74,29,0,,,
89,245064,241056,358149,151001,Canard Goûteux,360065,frigo,1,Fèves au canard ,5.00,"500",ml,0.75,0.00,0.00,5.75,27,0,,,
90,,,365182,143001,Ferme des Trois-Vallons,184028,congelo,2,Sauce à spaghetti,6.50,"500",ml,0.98,0.00,0.00,7.48,2,0,,,
91,320064,325075,367194,181002,Fromagerie P'tit Plaisir,166001,frigo,1,Fromage en bloc,3.50,"340",g,0.52,0.00,0.00,4.02,31,0,,,
92,,,367194,187004,La Montagne bleue,166001,frigo,1,Confiture de Rhubarbe,5.00,"250",ml,0.75,0.00,0.00,5.75,32,0,,,
93,243112,241116,364201,161028,Ferme des Hautes Terres,184035,congelo,2,Veau Haché,4.50,"454",g,0.68,0.00,0.00,5.18,21,0,,,
94,,200002,367196,143002,Bergerie Étoile d'Or,367057,congelo,1,Agneau haché,7.30,.406,kg,1.10,0.00,0.00,8.40,3,0,,,
95,360001,359001,358164,322121,Fromagerie Nouvelle France,354001,frigo,1,Zacharie Cloutier- Caseus d'Or 2011,9.00,"200",g,1.35,0.00,0.00,10.35,37,0,,,
96,219048,216056,364210,169011,Boulangerie Le Temps de Vivre,358162,tablette,1,Pain baguette biologique (en sac papier),2.30,"450",g,0.34,0.00,0.00,2.64,64,0,,,
97,360001,359001,364210,322121,Fromagerie Nouvelle France,358162,frigo,1,Zacharie Cloutier- Caseus d'Or 2011,9.00,"200",g,1.35,0.00,0.00,10.35,37,0,,,
98,,,362199,143001,Ferme des Trois-Vallons,367199,congelo,3,Bavette de boeuf ,2.57,"134",g,0.39,0.00,0.00,2.96,2,0,,,
99,,,362199,143001,Ferme des Trois-Vallons,367199,congelo,4,Steak de surlonge,6.13,"325-349",g,0.92,0.00,0.00,7.05,2,0,,,
100,323131,322149,362199,183001,Fromagerie du Presbytère,367199,frigo,1,Champayeur,5.00,"180",g,0.75,0.00,0.00,5.75,38,0,,,
